"P.DATA","CanalDensCat","CanalDensWs","ElevCat","ElevWs","PctOw2019Cat","PctUrbOp2019Cat","PctUrbLo2019Cat","PctUrbMd2019Cat","PctUrbHi2019Cat","PctBl2019Cat","PctDecid2019Cat","PctConif2019Cat","PctMxFst2019Cat","PctShrb2019Cat","PctGrs2019Cat","PctHay2019Cat","PctCrop2019Cat","PctWdWet2019Cat","PctHbWet2019Cat","PctOw2019Ws","PctUrbOp2019Ws","PctUrbLo2019Ws","PctUrbMd2019Ws","PctUrbHi2019Ws","PctBl2019Ws","PctDecid2019Ws","PctConif2019Ws","PctMxFst2019Ws","PctShrb2019Ws","PctGrs2019Ws","PctHay2019Ws","PctCrop2019Ws","PctWdWet2019Ws","PctHbWet2019Ws","PctOw2019CatRp100","PctUrbOp2019CatRp100","PctUrbLo2019CatRp100","PctUrbMd2019CatRp100","PctUrbHi2019CatRp100","PctBl2019CatRp100","PctDecid2019CatRp100","PctConif2019CatRp100","PctMxFst2019CatRp100","PctShrb2019CatRp100","PctGrs2019CatRp100","PctHay2019CatRp100","PctCrop2019CatRp100","PctWdWet2019CatRp100","PctHbWet2019CatRp100","PctOw2019WsRp100","PctUrbOp2019WsRp100","PctUrbLo2019WsRp100","PctUrbMd2019WsRp100","PctUrbHi2019WsRp100","PctBl2019WsRp100","PctDecid2019WsRp100","PctConif2019WsRp100","PctMxFst2019WsRp100","PctShrb2019WsRp100","PctGrs2019WsRp100","PctHay2019WsRp100","PctCrop2019WsRp100","PctWdWet2019WsRp100","PctHbWet2019WsRp100","PctAg2006Slp10Cat","PctAg2006Slp10Ws","PctAg2006Slp20Cat","PctAg2006Slp20Ws","PctImp2006Cat","PctImp2006Ws","PctImp2008Cat","PctImp2008Ws","PctImp2011Cat","PctImp2011Ws","PctImp2001Cat","PctImp2001Ws","PctImp2013Cat","PctImp2013Ws","PctImp2019Cat","PctImp2019Ws","PctImp2016Cat","PctImp2016Ws","PctImp2004Cat","PctImp2004Ws","PctImp2008CatRp100","PctImp2008WsRp100","PctImp2019CatRp100","PctImp2019WsRp100","PctImp2006CatRp100","PctImp2006WsRp100","PctImp2011CatRp100","PctImp2011WsRp100","PctImp2001CatRp100","PctImp2001WsRp100","PctImp2004CatRp100","PctImp2004WsRp100","PctImp2013CatRp100","PctImp2013WsRp100","PctImp2016CatRp100","PctImp2016WsRp100","WtDepCat","WtDepWs","OmCat","OmWs","PermCat","PermWs","RckDepCat","RckDepWs","ClayCat","ClayWs","SandCat","SandWs","DamDensCat","DamNIDStorCat","DamNrmStorCat","DamDensWs","DamNIDStorWs","DamNrmStorWs","SuperfundDensCat","SuperfundDensWs","NPDESDensCat","NPDESDensWs","TRIDensCat","TRIDensWs","NPDESDensWsRp100","SuperfundDensWsRp100","TRIDensWsRp100","MineDensCat","MineDensWs","MineDensWsRp100","PctColluvSedCat","PctGlacTilClayCat","PctGlacTilLoamCat","PctGlacTilCrsCat","PctGlacLakeCrsCat","PctGlacLakeFineCat","PctHydricCat","PctAlluvCoastCat","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctAlluvCoastWs","PctWaterWs","RdDensCat","RdDensWs","RdDensCatRp100","RdDensWsRp100","RdCrsCat","RdCrsSlpWtdCat","RdCrsWs","RdCrsSlpWtdWs","RunoffCat","RunoffWs","Pestic97Cat","Pestic97Ws","BFICat","BFIWs","SN_2008Cat","SN_2008Ws","NO3_2008Cat","NO3_2008Ws","InorgNWetDep_2008Cat","InorgNWetDep_2008Ws","NH4_2008Cat","NH4_2008Ws","AgKffactCat","AgKffactWs","KffactCat","KffactWs","Precip8110Cat","Tmax8110Cat","Tmean8110Cat","Tmin8110Cat","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","NABD_DensCat","NABD_NIDStorCat","NABD_NrmStorCat","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","Na2OCat","Na2OWs","Al2O3Cat","Al2O3Ws","CaOCat","CaOWs","Fe2O3Cat","Fe2O3Ws","SiO2Cat","SiO2Ws","MgOCat","MgOWs","SCat","SWs","P2O5Cat","P2O5Ws","K2OCat","K2OWs","NCat","NWs","HydrlCondCat","HydrlCondWs","CompStrgthCat","CompStrgthWs","CBNFCat","CBNFWs","FertCat","FertWs","ManureCat","ManureWs","MAST_2008","MAST_2009","MAST_2013","MAST_2014","MSST_2008","MSST_2009","MSST_2013","MSST_2014","MWST_2013","Phos_ManureCat","Phos_ManureWs","Phos_FertCat","Phos_FertWs","Phos_Crop_UptakeCat","Phos_Crop_UptakeWs","NsurpCat","NsurpWs","NANICat","NANIWs","Precip_Minus_EVTCat","Precip_Minus_EVTWs","RockNCat","RockNWs","SepticCat","SepticWs","WWTPMajorDensCat","WWTPMajorDensWs","WWTPMinorDensCat","WWTPMinorDensWs","WWTPAllDensCat","WWTPAllDensWs","WaterInputCat","WaterInputWs","CatAreaSqKm","WsAreaSqKm","Tile_density"
0.204,0,0.0235,272.2383,332.7429,2.37,3.47,2.01,0.8,0.25,0.07,40.22,0.07,2.19,0.06,5.35,12.98,24.96,4.84,0.36,3,3.33,2.75,1.66,0.41,0.07,8.13,0.08,0.71,0.06,1.87,9.66,63.32,1.17,3.76,5.93,3.92,1.91,1.34,0.29,0.29,34.16,0,1.44,0,5.74,2.2,9,32.15,1.63,0.88,3.18,2.4,1.22,0.27,0.04,13.66,0.06,1.15,0.08,2.42,12.95,47.68,5.02,8.99,9.87,2.61,1.08,0.1,0.86,2.25,1.15,2.33,1.18,2.39,0.83,2.07,1.19,2.44,1.59,2.58,1.57,2.51,0.83,2.15,1.81,1.86,1.92,2.03,1.71,1.81,1.81,1.89,1.71,1.71,1.71,1.75,1.81,1.93,1.92,1.98,156.4153,123.8464,1.0085,3.4384,6.0542,6.3831,150.7562,151.6889,17.4266,24.0793,16.56,31.2092,0,0,0,0.0081,65837.7178,51802.467,0,9e-04,0,9e-04,0,0.0132,0.0021,0.0021,0.0042,0,0.0012,0,0.92,0,2.1,0,96.99,0,0,0,2.16,0,81.46,0,16.38,0,0,0,0,1.4762,1.8064,1.8016,1.723,0.0034,0,0.0115,0.0021,230,229.7212,41.0822483424078,96.5868783562721,55.2604,51.2989,449.1372,455.0946,7.1828,7.1167,4.4122,4.5126,3.6012,3.7497,0.1171,0.185,0.3136,0.2589,811.512242207098,13.0170607710224,7.40284373140754,-15.8005043217383,815.378887639542,12.8015509432286,7.24654286212352,-15.7549051360104,0,0,0,0.006,30324.0008,18623.4662,0.7499,1.1758,5.8337,9.1428,11.4576,10.6266,12.448,6.6138,32.4515,46.407,6.7916,4.0018,0.0365,0.1,0.083,0.1761,1.2587,1.8143,0.2689,0.1267,137.1227,21.5284,50.974,38.0562,20.4655,33.4286,24.774,51.8049,3.9495,6.9111,10.5924915924,10.6147839945,10.6019463706,10.5867610578,22.1383099866,20.7699476654,22.4895281411,22.1278830903,2.37053185413,131.7993,498.471,632.1294,1397.4549,925.5811,1586.5185,6470.56342398938,4568316.74164999,925.628863216189,2153830.99228123,16.2252,18.5203,276.048,253.9535,2.626,3.499698,0,9e-04,0,0.0063,0,0.0072,0.000580055290009872,1.08879141984243,8.9262,3477.9384,378825.05859757
0.003,0,0,324.4476,425.5304,0,3.19,2.34,0.36,0.1,0,9.59,18.27,44.06,2.46,0.07,9.12,0.32,9.29,0.83,0.43,0.96,0.42,0.12,0.03,0,13.81,5.29,34.06,5.63,1.55,0.44,0.04,36.62,0.59,0,3.17,1.64,0,0.22,0,6.46,27.46,30.63,1.75,0,7.66,0,20.57,0.44,0.13,1.11,0.78,0.15,0.05,0,4.22,8.6,24.4,1.01,0.63,0.97,0,56.81,1.16,0.83,0.05,0,0,1.11,0.22,1.14,0.22,1.16,0.23,1.09,0.2,1.18,0.23,1.28,0.3,1.28,0.29,1.1,0.21,0.83,0.37,0.96,0.45,0.83,0.36,0.83,0.38,0.83,0.33,0.83,0.34,0.83,0.38,0.96,0.44,120.3072,130.4631,2.1872,7.4348,2.1203,5.6025,148.3565,150.3695,55.2664,15.806,17.2356,40.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.73,57.27,0,0,0,0,0,0,1.69,84.69,0,13.62,0,0,0,0,1.7486,0.4465,1.8087,0.6387,0.0162,0.0038,0.0042,0.0011,390,375.939,1.47675833739173,0.16349617253802,46.4127,47.98,480.5964,475.8047,7.8247,7.7422,4.5079,4.4545,3.5372,3.4923,0.036,0.0022,0.352,0.2685,763.918930476886,9.23369703153285,4.09726560238443,-17.2172262781265,775.305488650682,9.42836345304829,3.85172232624369,-18.5721300290737,0,0,0,0,0,0,2.3031,2.5638,16.5199,16.3438,9.0724,8.4203,9.0785,8.4339,49.1234,51.9561,7.2039,5.6744,0.0526,0.0575,0.1351,0.1829,0.617,0.986,0.0065,0.0081,0.6997,0.6952,207.8165,182.0142,1.8307,0.1201,0.9153,0.06,0.1017,0.0067,10.0929055061,10.1203544775,10.0535521321,10.0427605127,17.5044691206,16.6363588744,17.430811525,17.1812631119,2.02281876609,5.2125,0.3676,16.4898,1.1629,88.493,6.241,2844.33667154192,67905.3919437358,1803.6819063769,41557.05658929,23.6932,24.1625,17.0722,20.5805,1.682,1.682,0,0,0,0,0,0,1.0858756955822e-05,1.77382789123995e-05,3.699,93.4812,0
0.015,0,0.0896,288.6863,352.4737,6.86,2.87,1.63,0.87,0.1,0.5,18.26,0,0,0,0.94,2.66,53.44,1.95,9.92,1.36,3.01,1.33,0.65,0.14,0.06,0.7,0,0.12,0,0.66,1.02,87.4,1.48,2.06,4.88,3.24,1.34,0.57,0.1,1.08,36.54,0,0,0,3.75,3.55,6.89,8.94,29.14,0.6,2.55,1.09,0.4,0.06,0.05,1.96,0,0.4,0.02,2.05,2.59,70.73,9.35,8.15,7.59,0.42,3.61,0.05,1.19,1.01,1.23,1.03,1.24,1.05,1.14,0.96,1.26,1.07,1.42,1.18,1.26,1.11,1.16,0.98,1,0.73,1.13,0.84,0.98,0.72,1.05,0.74,0.97,0.69,0.98,0.7,1.07,0.76,1.07,0.78,97.8259,100.9609,2.178,2.5483,3.4871,4.3611,152.4,152.2747,27.3017,26.0589,19.0498,29.1113,0.0968,992932.5438,992932.5438,0.0016,7152.05,5350.4246,0,5e-04,0,6e-04,0,0.0035,0,0.003,0.003,0,3e-04,0,0,0,82.02,0,0,17.98,0,0,0,0,73.06,0,19.33,7.61,0,0,0,1.554,1.5187,1.073,1.4197,0.0029,2e-04,0.0082,6e-04,144.4936,151.9286,77.3132896693661,147.624921188813,46.8635,49.8984,482.7711,499.7176,7.0967,7.2243,4.9029,5.0934,4.2583,4.4667,0.1612,0.2209,0.2695,0.2554,784.524680822884,13.1363643552769,7.53939726576106,-15.6944355777604,784.557169200048,12.9729246183387,7.45265045714938,-15.3825189904812,0.0968,992932.5438,992932.5438,0.0014,7132.3924,5342.5615,1.5408,1.524,13.0239,12.1773,3.4795,2.1506,7.736,10.5925,59.5898,57.8521,1.7492,1.2988,0.2146,0.1092,0.2046,0.1763,2.4523,2.2934,0.3822,0.2684,0.0377,47.6432,0.5893,10.1612,30.8903,43.6205,41.5831,69.6316,5.9404,5.3313,10.7782180002,10.782890804,10.7780326783,10.7528545084,22.720587075,21.7755115836,22.9891316043,22.4114298304,2.60890348342,474.8145,449.1764,538.5953,1693.3911,1460.3848,2105.2689,9369.66888103606,1339573.39449643,556.320098718704,-4375218.59739343,13.3908,12.6861,224.2982,212.1969,2.606,1.4707164,0,6e-04,0,0.0037,0,0.0043,0.000350778778446268,0.284141727807165,10.3356,6274.8027,643247.959075591
0.02,0,0,395.1001,419.3692,4.59,0.97,2.36,0.38,0.03,0,27.81,0.95,30.14,5.89,3.66,8.92,0,12.79,1.51,2.44,1.54,0.89,0.43,0.1,0.15,13.18,2.69,20.43,3.53,1.37,3.07,0.44,45.29,4.44,5.96,1.27,1.14,0.38,0,0,17.24,2.28,35.36,9,3.8,14.83,0,7.1,1.65,0.69,1.88,1.21,0.48,0.11,0.01,8.71,1.19,15.07,2.02,1.61,5.52,0.56,47.61,13.34,0.15,0.03,0,0,1.04,0.62,1.07,0.64,1.08,0.67,0.96,0.58,1.08,0.69,1.12,0.75,1.08,0.74,1.01,0.6,0.71,0.82,0.71,0.92,0.71,0.79,0.71,0.84,0.49,0.74,0.63,0.77,0.71,0.87,0.71,0.89,73.5708,85.5959,18.9913,25.6694,4.3034,12.6514,148.4309,142.2838,47.6874,23.9033,17.3054,42.2604,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0.0027,0,0,0,0,0,0,96.95,3.05,0,0,0,0.37,15.62,24.31,42.93,16.76,0,0,1.7083,0.8736,2.0007,1.1721,0.0085,0,0.0062,5e-04,229,230.908,0.723895190069195,0.353730695647854,58.6133,56.7349,352.1238,367.5497,5.8022,6.055,3.4287,3.5466,2.7334,2.812,0.024,0.0126,0.2652,0.1719,698.828907429523,9.73058605732958,3.50489890917478,-21.5,706.326248722778,9.62257811860722,3.36173283720342,-21.5983247191627,0,0,0,0,0,0,2.3126,2.588,13.7291,13.6522,4.3134,3.8898,9.5337,9.6632,59.802,61.2288,3.56,2.7934,0.0347,0.0358,0.1997,0.1673,1.7695,2.1463,0.0049,0.0069,0.35,0.346,131.9201,136.2427,1.55,0.9328,0.775,0.4664,0.0861,0.0518,9.89889632850285,9.28511493091,9.95475917174957,9.89237846938643,17.7241805765,17.0558840407,17.8576800462,17.7009797985,1.50530358843701,4.4322,2.5757,14.0211,8.1483,75.2445,43.7278,1859.73651809176,423667.966279463,1026.05666472322,246943.927674965,17,16.7798,10.8706,11.6145,1.682,1.682,0,0,0,0.0027,0,0.0027,9.5415629335174e-06,0.00116983655427522,3.5118,736.5411,1415.89140862401
0.055,0,0,310.2033,365.8817,0.15,2.32,1.37,0.1,0.03,0.81,0.9,0,0.41,0,0.26,26.13,56.39,4.78,6.34,1.48,2.36,0.96,0.26,0.07,0.05,2.23,0.13,0.22,0.02,0.69,2.38,77.42,1.31,10.43,0.25,2.7,1.25,0.4,0.1,0.85,1.95,0,0.45,0,0.25,25.21,39.89,17.67,9.04,0.26,2.03,0.72,0.25,0.05,0.06,2,0.15,0.25,0.01,0.66,1.45,76.4,3.43,12.29,0.2,0.21,0,0,0.66,0.59,0.66,0.6,0.66,0.62,0.64,0.54,0.67,0.62,0.7,0.69,0.68,0.64,0.66,0.58,0.87,0.48,0.96,0.57,0.87,0.46,0.87,0.48,0.76,0.4,0.84,0.46,0.87,0.49,0.96,0.52,109.9372,110.6395,2.3626,2.0557,28.0349,7.716,152.4,152.4,7.5347,21.9686,76.4641,36.6957,0,0,0,0.004,11395.575,24.6925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,75.78,0,24.22,0,0,0,0,1.4183,1.2081,1.299,1.1629,0.0101,8e-04,0.0128,9e-04,81,80.1601,100.370269896711,88.8212342637497,47.5611,51.8812,460.1392,459.8335,6.9784,7.0114,4.6411,4.6304,3.9549,3.9315,0.1513,0.2102,0.18,0.2616,612.827521203008,11.1617782214627,5.41073403738893,-20.1164354434571,631.445237105629,10.7740811437316,5.08350362009358,-20.4577590930944,0,0,0,0,0,0,1.244,1.6193,9.0338,12.3235,0.842,1.27,21.4631,11.9313,45.692,57.0734,0.6874,1.1319,0.0329,0.0618,0.1147,0.1727,1.6752,2.3301,0.431,0.2191,245.1742,60.4408,1.4497,0.8406,22.6876,25.036,42.0141,32.1992,1.6806,7.5323,10.2146511909,10.2378072888,10.2129749327,10.203669259,21.7823802171,20.3290312406,21.8866786972,21.1793098785,1.26248126849,135.4971,453.2165,1220.9108,831.2212,1483.5752,1256.8987,-3245.34028357772,337178.377766845,-8405.21435167537,121112.368597938,0.0908,4.611,10.578,12.1681,1.202,2.1151991,0,0,0,0.006,0,0.006,0.00293440283306776,0.171802540484524,11.8503,499.5369,161390.360332205
0.004,0,0,432.8688,473.5672,0,0,0,0,0,0,2.44,13.82,26.02,3.25,0,0,0,54.07,0.41,15.11,1.29,1.02,0.59,0.18,14.13,16.93,2.99,13.72,2.96,5.24,0,0,21.91,3.94,0,0,0,0,0,0,0,6.49,27.92,5.19,0,0,0,59.74,0.65,1.51,1.44,1.05,0.26,0.01,8.71,13.63,3,16.56,1.91,2.82,0,0,38.59,10.51,0,0,0,0,0,0.81,0,0.83,0,0.86,0,0.79,0,0.86,0,0.94,0,0.89,0,0.8,0,0.55,0,0.6,0,0.54,0,0.56,0,0.54,0,0.54,0,0.56,0,0.56,131.5359,135.0232,12.2551,8.3256,24.9802,9.4055,142.3551,110.5921,6.3691,7.9252,57.5632,46.3756,0,0,0,0.0529,39164.9374,21596.2301,0,0,0,0,0,0,0,0,0,0,0,0,0,84.55,0,15.45,0,0,0,0,0,2.14,0,97.86,0,0,0,0,0,0.3914,3.2375,0.4748,1.7994,0.1355,0.0113,0.0053,5e-04,272,272,0.0679139996447155,0.0496142973440501,57.6098,51.3565,402.5432,397.7106,6.577,6.5042,3.7929,3.7479,2.9777,2.9408,0,0,0.1588,0.1483,718.703040146341,9.5905232700813,3.10009310206911,-21.680488493374,723.016323769727,9.49210026932406,3.17752156920955,-21.6069865385263,0,0,0,0.0176,6748.8219,2307.6617,1.2556,0.8163,11.406,6.5096,1.89,1.3544,3.8633,24.9718,65,59.7537,1.8917,1.0639,0.2719,0.053,0.1767,0.0979,2.0867,1.4306,0.0189,0.0159,0.0051,0.1024,70.0696,136.5902,0,6e-04,0,3e-04,0,0,9.84162520627316,9.73008358069409,9.87360411075615,9.79675043673126,16.911038847,16.7159771125,17.3682160203,16.839348161,1.56493360186341,0,0.0054,0,0.0171,0,0.0917,135.01520202205,36191.3094176311,83.8917282717066,23983.7337871535,17.9309,18.7923,40.1529,49.3815,1.682,1.682,0,0,0,0,0,0,0,5.48950261497012e-08,0.2214,56.6586,0
0.004,0,0.3854,334.1683,360.307,4.77,2.52,0.6,1.64,0.27,0,0,0,0.11,0.16,1.1,9.64,2.85,68.16,8.16,0.05,0.42,0.11,0.05,0,0.01,0.03,0.11,0.01,0.02,0.22,0.58,0.99,64.9,32.52,9.42,2.66,0,1.45,0.72,0,0,0,0,0.72,1.21,11.35,10.14,61.35,0.97,0.27,1.4,0.44,0.15,0.02,0.01,0.26,0.05,0.03,0.07,1.48,2.59,3.14,63.28,26.82,0.27,0.01,0,0,0.64,0.07,1.32,0.07,1.42,0.07,0.62,0.06,1.59,0.08,1.76,0.09,1.71,0.08,0.62,0.07,1.16,0.26,1.57,0.32,0.67,0.25,1.45,0.27,0.67,0.25,0.67,0.25,1.57,0.3,1.57,0.31,78.235,26.4461,13.204,34.4514,3.1269,13.3736,148.4144,152.3727,53.9831,16.0932,11.9644,51.7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,85.75,0,0,16.41,0,12.86,0.08,67.92,2.73,0,1.6831,0.1944,2.2559,0.4499,0.0183,0,0.0017,1e-04,189.1123,181.9108,9.44499878257534,1.98365662240738,37,38.4051,388.0195,378.6196,6.3004,6.1046,3.7845,3.7084,3.0475,3.0062,0.0327,0.0044,0.295,0.0773,663.268505791781,9.49503590673972,3.53441239291507,-22.7726571884931,648.671768488036,9.64907044146038,3.56983985722586,-22.464247448261,0,0,0,0,0,0,3.2492,1.4449,15.1961,13.243,5.9725,5.5358,8.3189,10.0096,56.8051,54.6355,3.5333,2.3314,0.0783,1.0741,0.2503,1.0156,2.3699,2.063,0.006,0.8324,0.2282,29.8586,187.4837,46.8223,1.7058,0.2275,2.4603,0.5121,0.0274,0.004,12.2192911451,12.2308083187,12.2004519623,12.2004519623,19.5853662666,19.2783026133,19.6406202861,19.6210724446,1.64237142889604,7.5161,0.6909,61.2788,14.0875,131.2381,17.1956,853.356868624697,1275235.50036676,401.624280842113,631192.448852693,9,8.4146,19.8228,19.3527,0.3493326,0.5949066,0,0,0,0,0,0,5.3359114281706e-07,0.000143518775322988,1.6425,2486.5488,609.588467923893
0.022,0,0.2834,333.8862,351.95,0.14,2.58,0.94,0.66,0.23,0,0.52,0.28,0,0,0.47,19.61,16.18,42.87,15.53,0.06,0.3,0.05,0.03,0,0,0.01,0.04,0.01,0.02,0.11,0.33,0.27,66.95,31.81,0.68,3.16,0.68,1.13,0.68,0,0,0,0,0,2.03,19.41,9.03,53.5,9.71,0.26,0.89,0.07,0.11,0.01,0,0,0,0.01,0.04,0.37,1.34,1.01,64.75,31.13,0,0,0,0,0.86,0.03,0.86,0.03,0.86,0.04,0.84,0.03,0.95,0.04,1.1,0.05,1,0.05,0.86,0.03,1.44,0.08,1.78,0.13,1.44,0.07,1.44,0.11,1.41,0.07,1.44,0.07,1.64,0.12,1.78,0.12,55.8551,29.0551,13.7358,35.0637,3.7637,14.3152,152.4,152.3249,48.6988,16.1422,18.0077,50.7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,17.52,0,0.29,0.27,77.71,4.2,0,1.4764,0.1282,1.9206,0.1898,0.0156,4e-04,0.0012,0,193,192.2591,2.94926240575516,0.781743224483198,37.6112,40.0763,387.5723,374.8369,6.2959,6.0893,3.7804,3.6621,3.0435,2.951,0.0725,0.002,0.2285,0.0755,668.744350009381,9.43891332120075,3.50272719128518,-22.7999992370544,667.152717126517,9.61497646353553,3.52071048628674,-22.625807494087,0,0,0,0,0,0,2.1372,2.0503,13.5765,13.4812,1.2938,5.9539,7.0845,9.7133,67.1523,56.4639,2.0167,4.0034,0.0136,0.5823,0.1209,0.6209,2.3966,1.8602,0.0044,0.4064,0.2272,1.2338,95.4797,109.2957,7.0877,0.1565,5.5469,0.2399,0.3082,0.0046,13.2875348745,13.3192458616,13.2875348745,12.2654314880457,20.013794149,19.7074138419,20.0475620799,20.0099822034,1.77542625136452,19.379,0.4328,32.2994,5.1632,258.4029,8.5974,1447.7964790253,367712.313459214,920.433890387598,183402.432656501,9.2505,9.6959,19.7509,19.5318,0.304,0.3615162,0,0,0,0,0,0,3.33355279931521e-06,1.85232074797299e-05,1.9188,709.4016,27.0190220980011
0.022,0,0.0223,308.5198,363.5234,1.08,2.45,1.58,0.29,0.03,0.1,0.69,0,0,0,2.3,2.78,87.27,0.15,1.29,6.12,2.48,1.22,0.58,0.11,0.1,2.98,0.08,0.69,0.05,0.65,9.42,66.9,0.63,7.99,10.08,2.27,4.79,0.76,0.25,0,7.81,0,0,0,8.31,18.39,30.98,1.76,14.61,1.22,2.39,1.34,0.56,0.08,0.07,3.94,0.04,0.67,0.07,0.88,8.18,58.89,1.92,19.76,0.82,1.59,0,0.04,0.82,0.93,0.83,0.95,0.84,0.97,0.81,0.88,0.86,0.98,0.91,1.06,0.87,1.02,0.82,0.91,2.44,0.96,2.55,1.04,2.44,0.92,2.44,0.97,2.43,0.86,2.43,0.9,2.44,0.99,2.55,1.02,113.3007,123.1417,1.9241,1.8478,8.0531,8.6335,150.8109,152.3945,23.6374,21.0614,28.3406,36.3933,0,0,0,0.0054,60987.7083,52291.0996,0,0,0,0,0,0.0019,0,0,0,0,9e-04,0,0,0,0,0,100,0,0,0,0,0,71.35,0,27.16,1.04,0,0,0.45,1.2645,1.4147,2.2002,1.3136,0.0046,0,0.0079,7e-04,91,91.7026,145.32380106071,88.799655105017,42,48.1907,440.5688,425.2769,6.4006,6.3527,4.5266,4.3294,3.9753,3.735,0.2337,0.2046,0.2703,0.2655,652.452706227217,12.6726288950391,6.75852322575031,-17.081417331232,675.230320134373,11.8797368624261,6.22770937989874,-17.6942126166239,0,0,0,0.0045,60540.8533,52172.1871,1.244,1.6044,9.0338,12.1976,0.842,1.3507,21.4631,12.2148,45.692,56.6348,0.6874,1.1418,0.0329,0.0661,0.1147,0.1709,1.6752,2.3034,0.431,0.2351,245.1742,66.9955,1.4497,1.67,32.8497,24.1693,54.4613,42.9383,1.7289,6.6726,10.9673539768,10.9814598883,10.9632240062,10.9632240062,22.4749851773,21.4017442759,22.700169594,22.2213049582,1.27230558128,159.6679,433.6188,2083.3115,1141.785,2086.2403,1494.9745,-3846.7856037152,5299288.26092507,-7909.7803975076,2701574.4885653,2.9995,5.5616,27.739,151.0034,1.19,1.7878788,0,0,0,0.0019,0,0.0019,0.00117287383575278,3.19399200003403,6.5673,4626.3609,241662.862714716
0.014,0,0.0127,441.4387,489.124,0.79,1.53,0.37,0.08,0.03,0.28,0,0,0,0,1.61,14.15,72.64,0,8.52,3.28,3.14,0.99,0.46,0.08,0.09,0.3,0,0.14,0.01,3.59,3.62,79.84,0.07,4.39,2.29,1.52,0.3,0.15,0.15,0,0,0,0,0,3.2,21.49,30.95,0,39.94,0.87,3.03,1.03,0.36,0.05,0.05,0.88,0,0.35,0.04,9.27,7.61,60.87,0.39,15.21,0,0.47,0,0.01,0.28,0.81,0.28,0.82,0.31,0.83,0.28,0.77,0.31,0.85,0.32,0.93,0.31,0.86,0.28,0.79,0.3,0.71,0.45,0.84,0.3,0.69,0.37,0.73,0.3,0.66,0.3,0.68,0.37,0.75,0.37,0.76,132.1197,127.0705,1.9531,1.7983,11.2167,4.0156,152.4,152.4,18.0256,25.1306,47.8117,28.9238,0,0,0,0.0032,38413.7181,23668.9071,0,0,0,0,0,0,0,0,0,0,8e-04,0,0,0,0,0,100,0,0,0,0,0,92.01,0,7.27,0.72,0,0,0,0.8829,1.4042,0.7822,1.2795,0.0094,4e-04,0.0097,0.0014,214,209.7069,108.106405276457,104.479270059265,44.4743,38.5101,520.2731,498.0326,7.1131,6.8428,5.4476,5.2101,4.9553,4.7278,0.2146,0.2302,0.25,0.2782,729.489398777589,12.5239872730051,6.95921882113752,-15.5698644430673,717.369546586833,12.4785470614322,6.91790210642899,-15.5130328414758,0,0,0,0.0016,35933.4135,21388.627,1.244,1.7001,9.0338,13.0705,0.842,1.4264,21.4631,9.7063,45.692,59.6605,0.6874,1.2474,0.0329,0.0724,0.1147,0.1864,1.6752,2.4784,0.431,0.1768,245.1742,17.9018,1.4497,0.6989,42.9117,40.8917,55.7852,52.8054,2.5747,2.62,11.9670957601,11.9813377165,11.9527885169,11.9494580131,22.5710619853,20.9282271677,22.5273329721,21.6729279101,3.05509037361,258.8015,252.2901,1298.9464,1264.3449,1784.9116,1723.5154,-938.218273588849,-295804.96682846,-3610.23428932294,-1319538.52325787,10,9.5167,223.08,193.8797,1.312,1.3016632,0,0,0,0.0065,0,0.0065,0,0.00200288808137478,3.1806,1233.3285,517521.109503243
