"Station_name","Station_number","Behavior","CVc.CVq","Slope1","p1","R2v1","n1","Slope2","p2","R2v2","n2","Pct_slope_change"
"Middle Branch Root River nr Fillmore, CSAH5","43076001","mobilizing",0.72,0.53,0,0.32,121,0.6,0,0.33,113,12.67
"Cedar River nr Austin, MN","48020001","diluting",0.57,-0.25,0,0.19,265,-0.22,0,0.14,256,-12.34
"Turtle Creek at Austin, 43rd St","48027001","mobilizing",0.92,0.58,0,0.21,103,0.72,0,0.24,94,23.05
"Shell Rock River nr Gordonsville, CSAH1","49009001","diluting",1.69,-0.73,0,0.29,192,-0.73,0,0.28,189,-0.47
"West Fork Des Moines River nr Avoca, CSAH6","51026001","mobilizing",0.69,0.6,0,0.33,77,0.8,0,0.41,72,34.59
"West Fork Des Moines River at Jackson, River St","51107001","chemodynamic",1.57,-0.04,0.59,0,165,-0.05,0.56,0,160,16.04
"Bois de Sioux River nr Doran, MN","54018001","mobilizing",0.32,0.23,0,0.26,426,0.24,0,0.25,414,2.88
"Mustinka River nr Norcross, MN9","55044003","mobilizing",0.58,0.41,0,0.2,91,0.62,0,0.3,85,51.09
"Twelvemile Creek nr Wheaton, CSAH14","55065001","mobilizing",0.32,0.15,0.02,0.07,84,0.33,0,0.2,79,117.23
"Pelican River nr Fergus Falls, MN210","56048002","mobilizing",1.27,0.49,0.01,0.09,77,0.6,0,0.11,72,23.7
"Otter Tail River nr Elizabeth, MN","56050001","chemodynamic",3.18,0.15,0.32,0.01,70,0.21,0.23,0.02,63,41.57
"Otter Tail River at Breckenridge, CSAH16","56105001","mobilizing",3.26,1.21,0,0.22,231,1.35,0,0.24,220,11.46
"Red River of the North nr Kragnes, CSAH26","57026001","chemodynamic",0.32,-0.02,0.46,0,376,0,0.89,0,369,-80.69
"Buffalo River nr Georgetown, CR108","58033001","mobilizing",0.32,0.3,0,0.25,438,0.32,0,0.26,427,7.98
"Buffalo River nr Glyndon, CSAH19","58048002","mobilizing",0.5,0.4,0,0.28,73,0.46,0,0.32,70,15.25
"South Branch Buffalo River nr Glyndon, 28th Ave S","58050001","chemostatic",0.28,0.2,0,0.17,105,0.29,0,0.24,98,49.53
"Buffalo River nr Hawley, MN","58059001","mobilizing",0.53,0.4,0,0.27,97,0.43,0,0.28,93,6.76
"Wild Rice River nr Mahnomen, CSAH25","60029001","mobilizing",0.73,0.22,0.04,0.1,43,0.36,0.03,0.13,38,60.21
"Wild Rice River at Twin Valley, MN","60088001","mobilizing",0.75,0.58,0,0.49,57,0.55,0,0.39,53,-3.98
"Wild Rice River at Hendrum, MN","60112001","mobilizing",0.48,0.43,0,0.36,402,0.46,0,0.36,388,7.08
"S Br. Wild Rice River at CR27 nr Felton, MN","60124001","mobilizing",0.32,0.29,0,0.29,48,0.3,0,0.26,44,2.91
"Sandhill River nr Fertile, 450th St SW","61006002","mobilizing",0.7,0.47,0,0.23,104,0.52,0,0.23,94,9.61
"Sand Hill River at Climax, MN, US-75","61039001","mobilizing",0.41,0.5,0,0.43,331,0.51,0,0.43,322,2.12
"Red Lake River at High Landing nr Goodridge, MN","63007001","mobilizing",4.74,0.65,0.01,0.11,59,0.9,0,0.17,53,37.65
"Red Lake River at Red Lake Falls, CR13","63025001","mobilizing",1.47,0.93,0,0.42,121,1,0,0.39,113,6.8
"Red Lake River at Fisher, MN","63078001","mobilizing",0.81,0.71,0,0.34,383,0.77,0,0.35,366,7.81
"Thief River nr Thief River Falls, MN","65014001","mobilizing",0.83,0.14,0,0.05,421,0.13,0,0.04,410,-1.92
"Thief River downstream of CSAH 7, 6 mi E of Holt","65017001","mobilizing",1.53,0.11,0.05,0.02,161,0.06,0.34,0.01,155,-45.73
"Mud River nr Grygla, MN89","65041001","mobilizing",1.01,0.29,0,0.17,157,0.4,0,0.23,142,40.11
"Clearwater River at Plummer, MN","66041001","mobilizing",0.73,0.44,0,0.15,99,0.55,0,0.19,94,24.76
"Lost River nr Brooks, CR119","66048001","chemodynamic",0.68,0.11,0.24,0.02,79,0.42,0,0.15,67,273.75
"Clearwater River at Red Lake Falls, MN","66050001","mobilizing",0.55,0.41,0,0.18,396,0.37,0,0.14,380,-10.15
"Snake River nr Big Woods, MN220","68011001","chemostatic",0.26,0.12,0,0.13,327,0.12,0,0.13,325,0.48
"Middle River at Argyle, MN","68017001","mobilizing",0.49,0.16,0,0.11,99,0.17,0,0.1,96,3.79
"Snake River above Warren, MN","68031002","mobilizing",0.44,0.22,0,0.12,78,0.21,0,0.11,77,-5.76
