"Station_name","Early Winter","Late Winter","Early Summer","Late Summer","Spring","Fall"
"Second Creek nr Aurora, 0.6mi us of CSAH110",NA,3,1,9,2,4
"Seven Mile Creek nr St. Peter, 0.6mi us of US169",NA,3,8,22,9,5
"Shakopee Creek nr Benson, 20th Ave SW",NA,3,2,5,4,2
"Shell Rock River nr Gordonsville, CSAH1",9,6,NA,3,NA,5
"Sleepy Eye Creek nr Cobden, CR8",NA,NA,NA,8,1,3
"Snake River above Warren, MN",NA,NA,1,1,2,3
"Snake River nr Big Woods, MN220",13,3,1,2,NA,3
"Snake River nr Pine City, MN",4,8,5,7,NA,NA
"South Branch Buffalo River nr Glyndon, 28th Ave S",NA,NA,1,7,NA,2
"South Branch Middle Fork Zumbro River nr Oronoco,5th St",NA,1,NA,3,NA,5
"South Branch Root River at Lanesboro, Rochelle Ave N",NA,2,1,7,NA,4
"South Branch Two Rivers at Hallock, MN175",NA,1,1,4,NA,2
"South Branch Two Rivers at Lake Bronson, MN",NA,1,2,3,NA,4
"South Fork Crow River at Delano, Bridge Ave",5,7,NA,6,1,4
"South Fork Watonwan River nr Madelia, CSAH13",NA,1,NA,6,NA,1
"South Fork Zumbro River nr Oronoco, CR121",NA,1,NA,6,NA,5
"Split Rock Creek nr Jasper, 201st St",6,7,NA,6,NA,2
"Spring Creek nr Hanley Falls, 480th St",NA,1,1,7,2,2
"St. Francis River nr Big Lake, 164th St",NA,1,6,5,NA,1
"St. Louis River at Floodwood, CSAH8",NA,NA,2,5,3,1
"St. Louis River at Scanlon, MN",3,1,4,11,1,2
"St. Louis River nr Forbes, US53",NA,NA,1,9,3,5
"Stony River nr Babbitt, Tomahawk Rd",NA,1,1,6,2,1
"Straight River nr Faribault, MN",5,2,NA,2,NA,NA
"Sunrise River at Sunrise, CR88",2,2,NA,4,NA,NA
"Swan River nr Jacobson, CR438",NA,NA,2,4,2,1
"Swan River nr Sobieski, MN238",NA,NA,NA,3,NA,2
"Tamarac River nr Florian, CSAH1",NA,NA,4,10,1,2
"Tamarac River nr Stephen, CSAH22",11,6,3,2,NA,NA
"Thief River downstream of CSAH 7, 6 mi E of Holt",NA,3,5,6,4,1
"Thief River nr Thief River Falls, MN",12,12,3,11,1,3
"Turtle Creek at Austin, 43rd St",NA,NA,1,9,NA,4
"Twelvemile Creek nr Wheaton, CSAH14",NA,2,1,5,3,1
"Two Rivers nr Bowlus, 40th St",NA,NA,2,NA,NA,NA
"Two Rivers nr Hallock, CSAH16",11,9,2,9,NA,2
"Watonwan River nr Garden City, CSAH13",11,8,1,15,1,3
"Watonwan River nr La Salle, CSAH3",NA,1,NA,6,1,2
"Wells Creek nr Frontenac, US61",NA,NA,1,2,4,3
